x01delvs;x02price;x03price;x04mfgim;x05servi;x06salim;x07quali;x08size;x09usag;x10sasfa;x11speci;x12struc;x13type;x14bsitu;user;categor;newuse
4.10;.60;6.90;4.70;2.40;2.30;5.20;1.00;32.00;4.20;2.00;1.00;2.00;1.00;1.00;2.00;2.00
1.80;3.00;6.30;6.60;2.50;4.00;8.40;2.00;43.00;4.30;1.00;2.00;1.00;1.00;2.00;3.00;
3.40;5.20;5.70;6.00;4.30;2.70;8.20;2.00;48.00;5.20;1.00;2.00;2.00;2.00;2.00;3.00;
2.70;1.00;7.10;5.90;1.80;2.30;7.80;2.00;32.00;3.90;1.00;2.00;2.00;1.00;1.00;2.00;2.00
6.00;.90;9.60;7.80;3.40;4.60;4.50;1.00;58.00;6.80;2.00;1.00;2.00;3.00;3.00;4.00;
1.90;3.30;7.90;4.80;2.60;1.90;9.70;2.00;45.00;4.40;1.00;2.00;2.00;2.00;2.00;3.00;
4.60;2.40;9.50;6.60;3.50;4.50;7.60;1.00;46.00;5.80;2.00;1.00;2.00;1.00;2.00;3.00;
1.30;4.20;6.20;5.10;2.80;2.20;6.90;2.00;44.00;4.30;1.00;2.00;1.00;2.00;2.00;3.00;
5.50;1.60;9.40;4.70;3.50;3.00;7.60;1.00;63.00;5.40;2.00;1.00;2.00;3.00;3.00;5.00;
4.00;3.50;6.50;6.00;3.70;3.20;8.70;2.00;54.00;5.40;1.00;2.00;1.00;2.00;3.00;4.00;
2.40;1.60;8.80;4.80;2.00;2.80;5.80;1.00;32.00;4.30;2.00;1.00;1.00;1.00;1.00;2.00;2.00
3.90;2.20;9.10;4.60;3.00;2.50;8.30;1.00;47.00;5.00;2.00;1.00;2.00;2.00;2.00;3.00;
2.80;1.40;8.10;3.80;2.10;1.40;6.60;2.00;39.00;4.40;1.00;2.00;1.00;1.00;1.00;2.00;2.00
3.70;1.50;8.60;5.70;2.70;3.70;6.70;1.00;38.00;5.00;2.00;1.00;2.00;1.00;1.00;2.00;2.00
4.70;1.30;9.90;6.70;3.00;2.60;6.80;1.00;54.00;5.90;2.00;1.00;1.00;3.00;3.00;4.00;
3.40;2.00;9.70;4.70;2.70;1.70;4.80;1.00;49.00;4.70;2.00;1.00;1.00;3.00;2.00;3.00;
3.20;4.10;5.70;5.10;3.60;2.90;6.20;1.00;38.00;4.40;2.00;2.00;2.00;2.00;1.00;2.00;2.00
4.90;1.80;7.70;4.30;3.40;1.50;5.90;1.00;40.00;5.60;2.00;1.00;1.00;2.00;2.00;2.00;2.00
5.30;1.40;9.70;6.10;3.30;3.90;6.80;1.00;54.00;5.90;2.00;1.00;2.00;3.00;3.00;4.00;
4.70;1.30;9.90;6.70;3.00;2.60;6.80;1.00;55.00;6.00;2.00;1.00;1.00;3.00;3.00;4.00;
3.30;.90;8.60;4.00;2.10;1.80;6.30;1.00;41.00;4.50;2.00;1.00;1.00;2.00;2.00;3.00;
3.40;.40;8.30;2.50;1.20;1.70;5.20;1.00;35.00;3.30;2.00;1.00;1.00;1.00;1.00;2.00;2.00
3.00;4.00;9.10;7.10;3.50;3.40;8.40;1.00;55.00;5.20;2.00;2.00;1.00;3.00;3.00;4.00;
2.40;1.50;6.70;4.80;1.90;2.50;7.20;2.00;36.00;3.70;1.00;2.00;1.00;1.00;1.00;2.00;2.00
5.10;1.40;8.70;4.80;3.30;2.60;3.80;1.00;49.00;4.90;2.00;1.00;1.00;2.00;2.00;3.00;
4.60;2.10;7.90;5.80;3.40;2.80;4.70;1.00;49.00;5.90;2.00;1.00;2.00;3.00;2.00;3.00;
2.40;1.50;6.60;4.80;1.90;2.50;7.20;2.00;36.00;3.70;1.00;2.00;1.00;1.00;1.00;2.00;2.00
5.20;1.30;9.70;6.10;3.20;3.90;6.70;1.00;54.00;5.80;2.00;1.00;2.00;3.00;3.00;4.00;
3.50;2.80;9.90;3.50;3.10;1.70;5.40;1.00;49.00;5.40;2.00;1.00;2.00;3.00;2.00;3.00;
4.10;3.70;5.90;5.50;3.90;3.00;8.40;2.00;46.00;5.10;1.00;2.00;1.00;2.00;2.00;3.00;
3.00;3.20;6.00;5.30;3.10;3.00;8.00;2.00;43.00;3.30;1.00;2.00;1.00;1.00;2.00;3.00;
2.80;3.80;8.90;6.90;3.30;3.20;8.20;1.00;53.00;5.00;2.00;2.00;1.00;3.00;2.00;4.00;
5.20;2.00;9.30;5.90;3.70;2.40;4.60;1.00;60.00;6.10;2.00;1.00;1.00;3.00;3.00;4.00;
3.40;3.70;6.40;5.70;3.50;3.40;8.40;2.00;47.00;3.80;1.00;2.00;1.00;1.00;2.00;3.00;
2.40;1.00;7.70;3.40;1.70;1.10;6.20;2.00;35.00;4.10;1.00;2.00;1.00;1.00;1.00;2.00;2.00
1.80;3.30;7.50;4.50;2.50;2.40;7.60;2.00;39.00;3.60;1.00;2.00;2.00;1.00;1.00;2.00;2.00
3.60;4.00;5.80;5.80;3.70;2.50;9.30;2.00;44.00;4.80;1.00;2.00;2.00;2.00;2.00;3.00;
4.00;.90;9.10;5.40;2.40;2.60;7.30;1.00;46.00;5.10;2.00;1.00;2.00;3.00;2.00;3.00;
.00;2.10;6.90;5.40;1.10;2.60;8.90;2.00;29.00;3.90;1.00;2.00;2.00;1.00;1.00;1.00;1.00
2.40;2.00;6.40;4.50;2.10;2.20;8.80;2.00;28.00;3.30;1.00;2.00;2.00;1.00;1.00;1.00;1.00
1.90;3.40;7.60;4.60;2.60;2.50;7.70;2.00;40.00;3.70;1.00;2.00;2.00;1.00;2.00;2.00;2.00
5.90;.90;9.60;7.80;3.40;4.60;4.50;1.00;58.00;6.70;2.00;1.00;2.00;3.00;3.00;4.00;
4.90;2.30;9.30;4.50;3.60;1.30;6.20;1.00;53.00;5.90;2.00;1.00;1.00;3.00;2.00;4.00;
5.00;1.30;8.60;4.70;3.10;2.50;3.70;1.00;48.00;4.80;2.00;1.00;1.00;2.00;2.00;3.00;
2.00;2.60;6.50;3.70;2.40;1.70;8.50;2.00;38.00;3.20;1.00;2.00;2.00;1.00;1.00;2.00;2.00
5.00;2.50;9.40;4.60;3.70;1.40;6.30;1.00;54.00;6.00;2.00;1.00;1.00;3.00;3.00;4.00;
3.10;1.90;10.00;4.50;2.60;3.20;3.80;1.00;55.00;4.90;2.00;1.00;2.00;3.00;3.00;4.00;
3.40;3.90;5.60;5.60;3.60;2.30;9.10;2.00;43.00;4.70;1.00;2.00;2.00;2.00;2.00;3.00;
5.80;.20;8.80;4.50;3.00;2.40;6.70;1.00;57.00;4.90;2.00;1.00;2.00;3.00;3.00;4.00;
5.40;2.10;8.00;3.00;3.80;1.40;5.20;1.00;53.00;3.80;2.00;1.00;2.00;3.00;2.00;4.00;
3.70;.70;8.20;6.00;2.10;2.50;5.20;1.00;41.00;5.00;2.00;1.00;1.00;2.00;2.00;3.00;
2.60;4.80;8.20;5.00;3.60;2.50;9.00;2.00;53.00;5.20;1.00;2.00;2.00;2.00;2.00;4.00;
4.50;4.10;6.30;5.90;4.30;3.40;8.80;2.00;50.00;5.50;1.00;2.00;1.00;2.00;2.00;3.00;
